Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday,
8,8,8,,7,8,8,8
7,8,6.75,,8.5,6.5,6.25,7.25
57-57-53-57-58 / 155-165-175-185 / 👍 / 10 / 21,1:55.8 — 9-9-9-9-9-9-10-11-11-11 (step ups) — 1:56.6 / 👍 / :40 - :35- - :35 / 4:07 -3:55 - 3:53,2:51-4:27 splits — 7:18 total / 30 - 30 pushups,,,,,
,,,,,,,
"Mar-11

AM
5:00 Easy AirBike
+
AirBike Extended Desaturation
4 Continuous Rounds
-2:00 @ 60% Effort
-1:00 @ 75% Effort
-0:30 @ 95% Effort
-1:00 Recovery Walk
-0:30 Rest
+
5:00 Easy AirBike

PM
A. Snatch Warm-Up 3.0
*after A series, complete 7:00 of HS Static Hold practice
B. Squat Snatch + Squat Snatch (8 Sets) 175
*drop & reset - rest 10-15s b/w reps
C. Snatch Balance (3 x 3) 135lb
*aggressive lockout - find heels in catch
D. E45s x 10: 1 Snatch High Pull 225
E. 2 Sets: (rest 8-10:00 b/w)
For Time @ 85-90% Effort
-3 HSW (25ft)
-30 Cal Row
-20 WB
-15 PC 135
-10 RMU
E1. Parallel Dip (3 x 5) RPE 7-8 all
E2. Lu Raises (3 Tough Sets) 15lb / Hand
E3. Seated Biceps Stretch (3 x 0:45)

Before Bed
Desk Athlete Mobility Checklist","Mar-12

AM
250m Row - slow
Spine Health Routine
+
20:00 Row @ 2:00 Pace
...
Rest 2:00
...
E2M x 5-7 Sets:
-45s Row @ 1:35-1:38 Pace
+
Seal Stretch (1:00)
Kneeling Hip Flexor Stretch (1:00 / side)
Lizard Stretch (1:00 / side)
Couch Stretch (1:00 / side)

PM
5:00 Slow AirBike
+
A. 4 Rounds
-4 Toe-Drag Step-Up 24""
-6 Alt Dead Bugs with swiss ball
-6 Alternating Lizards
-8 Tabletop Glute Bridge
-8 Air Squats - first rep w/ 10s pause
B. Ice Skater Jumps (3 x 8) @ ME
*5 BS after each set, then rest 2:00
C. Pause Back Squat (3 x 3) 225
D. [10:00 Clock]
Back Squat: Build to Daily Max
+
[0:00-5:00]
BBJO Refinement
[5:00-10:00]
BFB Refinement
+
EMOM 21:00 
1) 45 AirRunner @ 1000-1100w
2) 15 Toes-to-Bar
3) 45s Burpee Pull-Ups*
*start methodical with the goal to build reps as you go
+
10:00 Cyclical Flush
10:00 Hip & Shoulder Centric Mobility Work; choice","Mar-13

A. Jerk Warm-Up 1.0
*additional FR prep - see FR mobility checklist for ideas
B. EMOM 5: 5 Thrusters 75lb - keep a full hand on the bar
C. EMOM 5: 5 STO - no rack 135 - keep full hand on bar
*pause in the catch for 1s of reps 1 & 2 of each set
D. PC + SJ (5 Singles) 225 - for quality
Then (5 x 5) Hang Clean to OH - 135 - for ease
E. AMRAP 9:00
-1...2...3... LLRC 14ft
-15 BJ 30""
...
rest 1:00
...
50 Devil's Press for Time 50/Hand
+
F. Straight Arm Banded LPD; pvc + band (6 x 10) tough tension
*45s seated biceps stretch after each set",,"Mar-15

10:00 Cyclical Warm-Up
+
20:00 OHS Prep
*majority of time of shoulders & hips - active mobility work
*let me know if you need help for ideas
*use sotts press with trainer bar as proxy for improvement at 5-10-15-20min marks
+
Build to 315 DL Triple
+
EMOM 10:00
*min 1-5: 3 WF HSPU
*min 6-10: 3 Deadlift*
(*start at 315 & build to RPE 7-8)
+
[24.3 Prep]
A1. Banded Front Rack Stretch (3 x 20s / side) 
A2. Bar Beat Kips (3 x 8) 
A3. Squatting Groin Stretch (3 x 20s) 15lb plate 
A4. Elevated Achilles Stretch (3 x 20s / side) 
B1. Thrusters (2 x 2-4) 95/65lb 
B2. Chin-over-Bar Pull-Up (2 x 2-4) 
C1. Thrusters 115/85lb (2 x 2-4) 
C2. Chest-to-Bar (2 x 2-4) 
D. Rehearsal 
-20s Hard AirBike 
-5 Thrusters 95/65lb 
-5 Chest-to-Bar 
-30s Rest 
-20s Hard AirBike 
-3 Thrusters 135/95lb 
-3 Bar Muscle-Up 
+ 
Open Workout 24.3 
For Time (15:00 Cap) 
5 Rounds 
-10 Thrusters 95/65lb 
-10 Chest-to-Bar 
... 
rest 1:00 
... 
5 Rounds 
-7 Thrusters 135/95lb 
-7 Bar Muscle-Up 
+ 
5-10min Cyclical Flush 
5-10min Self-Directed Mobility","Mar-16

3:00 AirBike; easy
3:00 Row; ramping
+
4 Rounds
-8 PVC Dislocate
-8 90-90 Hip Rotations
-8 Scap Pull-Ups
-6 Push-Up to Down-Dog
-6 Ring Row
-6 Pausing OHS
+
Every 2:30 x 9 Sets: X Snatches
*sets 1,4,7: 5 TnG Snatch
*sets 2,5,8: 3 TnG Snatch
*sets 3,6,9: 1 Snatch
(start moderate and build to RPE 9 on the final wave)
+
2 Sets @ Wko Pace 
-2 sHSPU
-4 Dbl DB Snatch
-6 BFB
-8 WB
-10 Cal Row
(full rest b/w sets)
+
“Going UUUUUP!” (v2)
For Time (18:00 Cap)
-20 Strict HSPU
-40 Double DB Snatch 50/35's
-60 Bar-Facing Burpees
-80 Wall Balls, 20/14lb, 10/9ft
-100 Calorie Row
+
AMRAP 15:00 @ 70% Effort
-20 GHD Sit-Ups
-10 DB Bench Press 50/35's
-5 Wall Walk
+
5:00 Flush; Choice Cyclical
5:00 Choice Mobility","Mar-17

(rest)",Averages
8,7,8,,8,7,0,7.666666667
8,5,6.5,,4,5.25,5,6.5
57-57-58-58 cals / 👍 / 👍 / 👍 / 👍 / 6:06 - 6:30,👍 / 👍 / 390 / 👍 / 8s across,👍 / 👍 / 👍 / 👍 / 4 + 4 / 7:48 / 👍,,"Sleeping poorly all week.
155 reps","135-155-170
155-170-190
170-190-205
Hit all the reps, though not all perfectly. Challenging but good.
57 cals on the rower -- thought DB snatches were from the hang, otherwise happy with this effort. Very steady and consistent, methodical step-up burpees (60 @ 4.5 seconds apiece)
Was exhausted and punch drunk after a long week. Did 2 rounds of the last AMRAP",,
,,,,,,,
"Mar-4

(Nashville)

PM
A. Snatch Warm-Up 3.0
*after A series, complete 7:00 of HS Static Hold practice
B. Squat Snatch + Squat Snatch (8 Sets)
*start at 155 and build to heavy set
*drop & reset - rest 10-15s b/w reps
C. Snatch High Pull (6 x 2) 106%
*play around with a slightly higher hip in your start position
D. 2 Sets: (rest 6-8:00 b/w)
For Time @ 85-90% Effort
-16 Calorie Row
-40ft Unbroken HSW* (2x20ft)
-9 Toes-to-Bar
-6 PC 135lb
-6 RMU
-6 PC 135lb
-9 Toes-to-Bar
-14 Wall Ball, 20# to 10ft
-16 Calorie Row
*including turnaround
E1. srDip (3 x AMRAP-2)
E2. DB Scaption Raise (3 Tough Sets) 15/Hand
*scaption is b/w side & front raise","Mar-5

(Nashville)

PM
A. EMOM 7: 25s AirRunner, 35s Walk
B. Crossover DU Attempts (5-7:00)
C. Ice Skater Jumps (3 x 8) @ ME - rest 90s
D. Squatting Box Jumps (4 x 2) 30""
E. Back Squat: Build to Heavy Single
Then (2 x AMRAP-1) 90% of that single
+
[5-10:00 Clock]
Unfatigued BBJO Practice
*see the video I send you last week
+
For Time
-40 BBJO 24""
-40 Goblet Walking Lunges 70lb
-40 DB Snatch 70lb
+
10:00 Cyclical Flush
10:00 Hip & Shoulder Centric Mobility Work; choice","Mar-6

(Nashville)

A. Jerk Warm-Up 1.0
*additional FR prep - see FR mobility checklist for ideas
B. EMOM 5: 5 Thrusters - keep a full hand on the bar
C. EMOM 5: 5 STO - no rack 135 - keep full hand on bar
*film 1 min from B & C
D. E90s, Until RPE 9
-7 Calorie Ski
-1 Jerk; from the rack
*start at 185 and build by 10lb each interval
E. 3 Sets: (rest 1:1) 
-30 Calorie Row
-20 DB Bench Press 70/H 
-30 Calorie Row
F. Straight Arm Banded LPD; pvc + band (4 x 10) tough tesnion",,"Mar-8

Choice Overhead Prep
*feel free to use stuff you like or pull from previous weeks
+
A. WF HSPU (3 x 3)
B. RMU (3 x 3)
C. Pendlay Row (5 x 4) RPE 7
D. Deadlift (5 x 5) Build to Wko Wt 
*after each set: 10-20 Double Unders 
+ 
2 Sets: (rest 30s b/w) 
-1 Round @ Projected Pace 
+ 
Open Workout 24.2 
AMRAP 20:00 
-300m Row 
-10 Deadlift 185/125lb 
-50 Double Unders 
+ 
5:00 Easy AirBike 
Foam Roll Calves & Low Back","Mar-9

2 Rounds
-3:00 AirBike; easy
-1:00 Shuttle Runs; moderate
+
3 Rounds
-10 Banded Good Morning; 3s lower
-8 Scap Pull-Ups
-5 Supinated Ring Rows; pausing at chest
-20s Elbows-in-Rings Chest Stretch
-6 Box Step-Ups 24/20""; 3s lower
-20s Elevated Achilles Stretch / side
+
[20:00 Clock]
Find Heavy Complex
-Clean + Jerk + Front Squat + Jerk
+
4 Rounds @ Workout Pace 
-4 KB Squats 70/53's 
-4 Shuttle Run (2x25ft=1) 
-Rest 30s- 
... 
Build to 70% of Projected Strength Loading 
+ 
""Caudle Waddle"" (v2) 
[22:00 Clock] 
For Time 
-35-25-15 KB Squats 70/53's 
-25-25-25 Shuttle Run (2x25=1) 
... 
In Remaining Time... 
-Find 1RM Strict Pull-Up 
(E1 is for time, E2 is for load in pounds) 
+ 
Every 2:30 x 6 Sets: 
-1:00 AirBike @ 10:00 Test Pace 
-AMRAP-1-2 HSPU; 6/4"" Deficit* 
*scale to a deficit you can do >5 reps
+
Move Through...
-15 Banded 90-90 Raises
-5:00 Choice Cyclical @ Recovery Pace
-15 Banded 90-90 Raises
-5:00 Choice Cyclical @ Recovery Pace
-15 Banded 90-90 Raises","Mar-10

(rest)",Averages
8,N/A,7,,8,7.5,,7.5
7.5,5.5,7,,8.5,6,,6.666666667
:24 / 155-165-175-185-195-205 (1–F x 2) - 215 (1–F x 1) - 225 (F) / 5:33-5:49,380 — 3 - 3 / 8:59 — 3:07 BBJOs - 20-20 lunges — 20-12-8 snatches,185-195-205-215-225-235-245-260/4:30-4:18-4:18,,9+8,"155-185-205-225-245-255 / 16:19 -- 100 # / 6-6-6-6-6-6 (4.5"" deficit)",,
,,,,,,,
"Feb-26

AM
5:00 Easy AirBike
+
AirBike Extended Desaturation
6 Continuous Rounds
-1:00 @ 60% Effort
-1:00 @ 75% Effort
-1:00 @ 90% Effort
-1:00 Rest
+
5:00 Easy AirBike

PM
A. Snatch Warm-Up 3.0
*after A series, complete 7:00 of HS Static Hold practice
B. Squat Snatch* + Squat Snatch (8 Sets)
*pause 2s in catch
**start at 135 and build to heavy set
C. Snatch High Pull (4 x 2) 106%
D. 4 Sets: (rest 3:00 b/w)
-16 Calorie Row
-14 Wall Ball, 20# to 10ft
-12 Toes-to-Bar
-8 PC 135lb
-4 RMU
E1. srDip (3 x AMRAP-2)
E2. DB Scaption Raise (3 Tough Sets) 15/Hand
*scaption is b/w side & front raise","Feb-27

AM
Spine Health Routine
+
20:00 Row @ 2:00 Pace
...
EMOM 10
1) Row @ Strong Pace - for cals
2) Rest
+
Seal Stretch (1:00)
Kneeling Hip Flexor Stretch (1:00 / side)
Lizard Stretch (1:00 / side)
Couch Stretch (1:00 / side)

PM
A. EMOM 7: 25s AirRunner, 35s Walk
B. Stationary Pogo Hops (3 x 10) inc effort each set
C. Rebounding Tuck Jumps (4 x 4) @ ME - rest 90s
D. Ice Skater Jumps (3 x 8) @ ME - rest 90s
E. Crossover Attempts (7:00 Clock)
F. Back Squat: Build to Heavy Pause Single
Then (3 x AMRAP-1) 88% of 1RM
+
Prep Mvmts
3 Rds of Wko @ Relaxed Pace
+
AMRAP 15:00
-4 BBJO 24""
-6 DB Snatch 50lb
-4 Burpee Pull-Ups
-30 Double Unders
+
10:00 Hip & Shoulder Centric Mobility Work; choice","Feb-28

A. Jerk Warm-Up 1.0
B. PC + Triple Pause SJ 185
C. EMOM 5: PC + SJ
*start at 185 and add 10lb per interval
*build to RPE 9
D. TnG Push Jerk (4 x 5) 
*try that wider stance we talked about
E. sPress (4 x 6)
*build to rep max, then back off ~10lb per hand for the remaining sets
F. 20:00 Run @ Nasal Cap
*At 5-10-15:00 Marks...
-9 Cal Ski; Strong Pace
-6 BMU
G. Straight Arm Banded LPD; pvc + band (4 x 10) tough tesnion

Make sure to bring left arm up aggressively coming out of the dip, and punch it out at the finish.",,"Mar-1

3 Rounds
-250m Ski; Damper 3; easy
-5s.5s.5s Elevated Cat Pose End Range Isometrics with Fingers Interlocked
-5 Pausing Tabletop Glute Bridge
-5 Setaed sPress; 20kg bar, 2 pause OH each rep
+
A. DB Pullover (5 x 6-8) 15lb
*choice OHS Mobility Work after ea
+
B. SJ; from the rack (8 Singles)
*start light, end RPE 8.5
+
C. sHSPU (4 x 5) for quality
+
D. 2-3 Rounds
-0:30 Supine Hamstring Stretch / side
-10 Banded Good Morning
-0:30 Elevated Cat Pose with Fingers Interlocked
-10 Seal Push-Ups; 1s pause at top
+
E. 2:00 Ramping AirBike or Row
...
3-5 Sets: (rest 30-60s b/w) 
4 DB Snatch; arm 1
4 Burpee; Lateral Over DB
4 DB Snatch; arm 2
4 Burpee; Lateral Over DB
+
Open Workout 24.1
For Time (15:00 Cap)
-21 DB Snatch; arm 1 
-21 Burpee; Lateral Over DB 
-21 DB Snatch; arm 2 
-21 Burpee; Lateral Over DB 
-15 DB Snatch; arm 1 
-15 Burpee; Lateral Over DB 
-15 DB Snatch; arm 2 
-15 Burpee; Lateral Over DB 
-9 DB Snatch; arm 1 
-9 Burpee; Lateral Over DB 
-9 DB Snatch; arm 2 
-9 Burpee; Lateral Over DB
+
Move Through
-5-10min AirBike Flush
-Foam Roll Low Back
-Overhead Triceps Stretch
-Supine Hamstring Stretch

Make sure to bring left arm up aggressively coming out of the dip, and punch it out at the finish.","Mar-2

2 Rounds
-1:00 Erg 1; Choice
-1:00 Erg 2; Choice
+
-1:00 Couch Stretch / side
-1:00 Frog Stretch
-0:30 Banded OH Triceps Stretch / side
-0:30 Goblet Squat Hold; light
-0:30 Elevated Cat Pose
+
2 Rounds
-LCA C&J Warm-Up
-5 BJ/SD 24/20""
-Additional joint prep / mobility; as needed
+
A. For Time
-5-4-3-2-1 Clean & Jerk 75%
-Rest 60s-
B. Back Squat: 10min to Find Heavy Double
C. TnG Deadlift (5 x 2)
*start counting sets @ RPE 7 & build to tough double
+
3-4 Sets: (rest 1:1)
-4 Shuttle Run
-4 Chest-to-Bar
-4 BJO 24/20""
+
""Broken Record"" (v2)
(Repeat of Workout 74)
Every 3:00 x 6 Sets:
{2:00 Working Window}
-8 Shuttle Run (2x25ft=1)
-8 Chest-to-Bar
-Max Box Jump Over 24/20""
*score is total BJOs
+
5 Rounds for Load
-5 Single Arm DB sPress / side
-25ft Hand Over Hand Sled Pull; heavy
*sub staggered grip rope climb pull-ups (~4/4)
+
[Skill Variance]
EMOM 21
1) Choice Jump Rope Practice*
2) 30s HS Static Hold / Attempts
3) Max L-Sit Hold (Cap :30)
*stick with the same variation for all rounds","Mar-3

(rest)",Averages
8,9,8,,7,8,,8.333333333
8,7,6.5,,7.5,7.5,,7.166666667
52-52-51-51-51-51 cals 😰/ 235 snatch pulls / 2:53 - 2:48 - 2:52 - 2:51 / 35 ring dips - 20 lateral raises,23-23-23-23-24 cal row / 254 crossovers (Tabata style) / 155-245-295-315-335-350-365 Pause BS / 6-6-6 3 x AMRAP1 @ 88% (322) / 9+0 metcon (1:27-1:32-1:37-1:41-1:44-1:57-1:39-1:56-1:30 splits),135-155-170-185-200 2x PJ Warmup / Missed the jerk @ 275 / 👍 / 135 strict press / 👍,,Split jerks 135-150-165-180-195-210-225-240 / did the 4x 5 HSPUs / 9:35 24.1 / 4-5-6-6-6 DWFHSPU — 3-3-3-3-3 BP @ 215,Did 5-4-3-2-1 PC+PJs @ 205 w/ 5 BJs — :52-:38-:29-:21-:14 / 365 / 445 / 22-22-22-22-22-23 / Rope pulls @ 50 LB DBs across / Skipped the extra credit—tired and long week,,
,,,,,,,
"Feb-19

AM
5:00 Easy AirBike
+
AirBike Extended Desaturation
5 Continuous Rounds
-1:00 @ 60% Effort
-1:00 @ 75% Effort
-1:00 @ 90% Effort
-1:00 Rest
+
5:00 Easy AirBike

PM
A. Snatch Warm-Up 3.0
*after A series, complete 5:00 of HS Static Hold practice
B. Squat Snatch with slow pull 'til the knee + Hip Squat Snatch + Snatch Balance (8 Sets) 155
C. Snatch High Pull (4 x 2) 103%
D. 5 Sets: (rest 2:00 b/w)
-10 Calorie Row
-4 Bar-Facing Burpees
-5 OHS 135lb; no rack
-25ft HSW
-5 RMU
E1. srDip (4 x 10-12)
E2. DB Lateral Raise (4 Tough Sets) 15/Hand","Feb-20

AM
Spine Health Routine
+
E15M x 3 Sets:
12:00 Row @ Zone 2
*nasal breathing only
+
Seal Stretch (1:00)
Kneeling Hip Flexor Stretch (1:00 / side)
Lizard Stretch (1:00 / side)
Couch Stretch (1:00 / side)

PM
A. EMOM 7: 25s AirRunner, 35s Walk
B. Traveling Pogo Hops (3 x 25ft) inc effort each set
C. Rebounding Vertical Jumps (4 x 4) @ ME - rest 90s
D. Lateral Single Leg Jumps (4 x 4/4) 
*L-R-L-R then switch legs
E. Crossover Attempts (7:00 Clock)
F. Back Squat: Build to Heavy Triple
Then (2 x AMRAP-2) 88% of that triple
+
AMRAP 12:00 
-8 Box Jump Over, Step Down 24"" 
-20 Double Under 
-8 DB Snatch 50lb 
-20ft DB FR Lunge 50/Hand
+
10:00 Hip & Shoulder Centric Mobility Work; choice","Feb-21

A. Power Clean Warm-Up
B. E2M x 5 Sets:
-PC + PJ* + SJ** 185
*pause in dip
*pause in catch
C. Push Jerk: Build to Tough Double
D. DB sPress (5 x 8)
*build to rep max, then back off 5-10lb per hand for the remaining sets
D. AMRAP 10:00
-5 BMU
-10 kHSPU - 40x24"" box
-15 Calorie Ski
E. 18:00 Easy Run
-At 3,6,9,12,15: Complete 10 Straight Arm Banded Lat Pull Down - pvc + band",,"Feb-23

3 Rounds
-250m Ski; Damper 3; easy
-5s.5s.5s Elevated Cat Pose End Range Isometrics with Fingers Interlocked
-5 KB Z-Press; 15/Hand; 1s pause at top
-5 Pausing Tabletop Glute Bridge
-5 sPress; 20kg bar, 3s pause OH each rep
+
A1. DB Pullover (5 x 6-8) 15lb
A2. Choice OHS Mobility Work
A3. OHS (5 x 5) empty bar
*each set narrow grip
*film your last set from the back (goal is jerk grip)
+
A. 6 Sets:
-Triple Pause Push Jerk + 2 Push Jerk 165
-15s Squatting Groin Stretch; 25lb plate
B. BTN SJ (6 Sets) RPE 6 --> 8.5
C. 5 Sets:
-AMRAP-1 kHSPU; 6"" Deficit
-Rest 15s-
-AMRAP-1 sPress 115lb
-Rest 3:00-
*note scores on each movement of each set
D. E6M x 3 Sets:
-25 Calorie Row
-5 PS 155
-25 Calorie Row
E. 3 Rounds
-250m Row
-20s OH Triceps Stretch / side
-250m Ski
-20s Neck Stretch / way","Feb-24

A. 3 Rounds @ Warm-Up Pace
-1:00 AirBike; easy, nasal
-20s Supinated Dead Hang
-10 Seal Push-Ups
-20s Elevated Cat Pose
-10 Breath Air Squat Hold
B1. Front Squat (3 x 5) empty bar - full hand
B2. BB Front Rack Rotations (3 x 5-7ea)
B3. Strict Press (3 x 5) empty bar
C. Triple Pause Thrusters (3 x 5) empty bar
*pause in oh, dip, squat
D. E2M x 2 Sets:
-5 Bar-Facing Burpee
-5 STO @ 70% of Jerk; no rack
E. E2M x 2 Sets: 
-5 Bar-Facing Burpee
-5 Power Clean @ 70% of PC
F. Back Squat (8,6,4,3) RPE 7-8 All
G. Hand-Release Deadlift (3 x 3) RPE 8-9
*tough but repeatable and sub-maximal
*same load for each set
Then (2 x 10) @ 72% of top set TnG & Fast
H. RC + RC + LLRC (full rest b/w reps)
*5-7 GHD after each
I. Rehearsal - Complete @ Wko Pace
-1 LLRC
-3 Thrusters
-10 GHD
-3 Thrusters
-1 RC
+
“Tower of Terror”
(Repeat of Workout 62)
For Time (12:00 Cap)
-5 Legless Rope Climbs
-15 Thrusters 135/95lb
-45 GHD Sit-Ups
-15 Thrusters 135/95lb
-5 Regular Rope Climbs
+
5 Sets: for Load
-6-8 Staggered Grip Pull-Up on Climbing Rope (3-4 / hand on top)
-6-8 Single Arm DB Strict Press / side
+
[Skill Variance] extra credit
EMOM 21
1) 8 Side-Lying External Rotations / side
2) 30s Parallette Handstand Hold / Attempts
3) Max L-Sit Hold","Feb-25

(rest)",Averages
8,8,7,,9,9,,7.666666667
8,8,7.5,,7,7,,7.833333333
51-51-51-51-49 cals / 2:06-2:07-2:05-2:10-2:17 metcon,225-265-285-305-325-340 Heavy 3 BS/ 5-4-2–6-5-1 BS AMRAP / 8+1 metcon,👍 PC+ PJ+SJ / 235 PJ double / 60 Max DB Press — 5 x 50s / 5+0 metcon,,185 - 200 - 215 - 230 -245(F) - 245 / DHSPU 8-8-6-4-5 — Strict Press 11-9-10-10-10 / 2:45 - 2:48 - 2:49,:40-:41-:32-:30 / 300 across BS / 405 3x3 — 295 DL 2x10 / 6:39 metcon / 50 # DB Across,,
,,,,,,,
"Feb-12

AM
5:00 Easy AirBike
+
AirBike Extended Desaturation
4 Continuous Rounds
-1:00 @ 60% Effort
-1:00 @ 75% Effort
-1:00 @ 90% Effort
-1:00 Rest
+
5:00 Easy AirBike

PM
A. Snatch Warm-Up 3.0
*after A series, complete 5:00 of HS Static Hold practice
B. Squat Snatch with slow pull 'til the knee + Hip Squat Snatch + Snatch Balance (8 Sets) 135
C. Snatch High Pull (4 x 2) 100%
D. 5 Sets: (rest 2:00 b/w)
-5 OHS 135lb; no rack
-25ft HSW
-5 RMU
E1. srDip (4 x 10)
E2. DB Lateral Raise (4 x 10-12) 10-15lb/Hand","Feb-13

AM
Spine Health Routine
+
E12M x 3 Sets:
10:00 Row @ Zone 2
*nasal breathing only
+
Seal Stretch (1:00)
Kneeling Hip Flexor Stretch (1:00 / side)
Lizard Stretch (1:00 / side)
Couch Stretch (1:00 / side)

PM
A. EMOM 5: 30s AirRunner, 30s Walk
B. Pogo Hops (3 x 10) for max height / high effort
C. Vertical Jump + Broad Jump (4 x 1.1) @ ME
*rebound from vertical into broad jump, reset & repeat
*rest 90s
D. Depth Jump (4 x 1.1.1) off 24"" box
E. Back Squat (6 x 4)
*first two reps of each set with 4s lower
*start at 75% & build to RPE 8.5-9
+
8 Rounds for Time @ 85-90% Effort
-6 BBJO 24""
-8 TTB
-10 Wall Ball 20lb to 10ft
+
10:00 Hip & Shoulder Centric Mobility Work; choice","Feb-14

A. Power Clean Warm-Up
B. E2M x 8 Sets:
-PC + PJ* + SJ**
(start at 185 and build every other set)
*pause in dip
*pause in catch
C. sPress (6 x 6)
*build to rep max, then back off 10-20lb for the remaining sets
D. AMRAP 10:00
-20 DB Snatch 50lb
-10 kHSPU - 23' standard
-5 BMU
E. 15:00 Easy Run
-At 3,6,9,12: Complete 10 Straight Arm Banded Lat Pull Down - pvc + band",,"Feb-16

3 Rounds
-250m Ski; Damper 3; easy
-5s.5s.5s Elevated Cat Pose End Range Isometrics with Fingers Interlocked
-5 KB Z-Press; 15/Hand; 1s pause at top
-5 Pausing Tabletop Glute Bridge
-5 sPress; 20kg bar, 3s pause OH each rep
+
A1. DB Pullover (5 x 6-8) 15lb
A2. Choice OHS Mobility Work
A3. OHS (5 x 5) empty bar
*each set narrow grip
*film your last set from the back (goal is jerk grip)
+
A. 6 Sets:
-2 Triple Pause Push Jerk 165
-15s Squatting Groin Stretch; 25lb plate
B. BTN SJ (6 Sets) RPE 6 --> 8.5
C. 4 Sets:
-AMRAP-1 sHSPU; 2"" Deficit
-Rest 15s-
-AMRAP-1 Deficit Push-Ups*
*hands on 45lb plates, in 20lb weight vest
-Rest 3:00-
*note scores on each movement of each set
D. 3 Sets:
-250m Row @ 500m TT Pace
-5 TnG PS 115
*rest as needed to be successful, not more
E. 3 Rounds
-250m Row
-20s OH Triceps Stretch / side
-250m Ski
-20s Neck Stretch / way","Feb-17

1k Row @ Ramping Pace
*start easy and build every 200m
+
A1. Banded Front Rack Stretch (3 x 20s / side)
A2. Bar Beat Kips (3 x 8)
A3. Squatting Groin Stretch (3 x 20s) 15lb plate
A4. Arch Body Hold (3 x 20s)
A5. Elevated Achilles Stretch (3 x 20s / side) 
B. Every 2:30 x 4 Sets:
-6 BJO; tough repeatable height
-2 PC + PJ; ~80% - fast singles
C. Back Squat (5 x 3)
*5s lower of rep 1 of each set
*mirror jumps from last week
D. TnG Deadlift (5 x 3) 3s lower
*mirror jumps from last week
E. Move Through...
-6 Ring Rows; easy angle
-3 Thrusters; workout wt
-2.2.2 Strict Pull-Ups
-3 Thrusters; workout wt
-6 Chest-to-Bar
F. 2:00 AirBike @ Ramping Pace
...
9-6-3
-Thrusters 95/65lbs
-Chest-to-Bar Pull-Ups
+
“Point Five”
(Repeat of Workout 22)
For Time (15:00 Cap)
21-18-15-12-9-6-3
-Thrusters 95/65lbs
-Chest-to-Bar Pull-Ups
*note: workout 22 did not have a time cap
+
DB Military Press (4 x 8) AHAP
*15 banded face pulls after each set
+
[Skill Variance]
20:00 Clock
*min 1-7: Jump Rope Practice
*min 8-14: Choice Inversion Skill
*min 15-20: Accumulate L-Pull-Ups for Quality","Feb-18

(rest)",Averages
7,7,8,,7,8,,7.333333333
8,6.5,8,,5,8,,7.5
300 watts - 350 watts - 400 watts - 204 cals / :57 - 1:00 - :53 - :56 - 1:56,285 - 295 - 305 - 315 - 325 - 335 / 12:52 metcon,185-205-225-245 / 125 strict press / 4+17 metcon,,175-190-205-220-235-250 / 4-3-3-2 sHSPU — 20-20-21-21 DPUs / 1:04-1:04-1:04 metcon,"225 - 30"" box /300-305-310-315-320 back squat / 375-375-395-405-415 DL / 11:12 metcon / 55-LB DBs",,
,,,,,,,
